A	archive file	ar (Unix)
HUM	3D Model database	OMSI The Bus Simulator
HXX	C++ header file

ICC[26]	ICC profile	Color Configuration for color input or output devices
ICE	LHA Archive	Cracked LHA (old LHA), Total Commander
ICO	Icon file	ICONEDIT.EXE; Microsoft Windows
IFC[27]	Industry Foundation Classes (platform neutral, open file format used by BIM software). It is registered by ISO and is an official International Standard ISO 16739-1:2018.	BIM software
IGC[28]	Flight tracks downloaded from GPS devices in the International Gliding Commission's prescribed format	
IGES[29]	Initial Graphics Exchange Specification	
IO[30]	Archive	CPIO
IPT	XnView IPTC template	XnView, XnViewMP
ISO	ISO-9660 table	see: List of ISO image software
IT	Impulse Tracker music file	Impulse Tracker

J2C[31]	JPEG 2000 image	JPEG 2000
JAR[32]	Java archive	JAR, Java Games and Applications
JAV[33]	see JAVA	
JAVA[33]	Java source code file	
JBIG[34][35][36]	Joint Bilevel Image Group	
JNLP[37]	Java Network Launching Protocol	Java Web Start
JP2[31]	JPEG 2000 image	
JPEG[38]	Joint Photographic Experts Group graphics file format	Minolta/Konica Minolta cameras use this for JPEGs in Adobe RGB color space
JPEG[38]	Joint Photographic Experts Group graphics file format	QPeg - FullView - Display
JPEG[38]	Joint Photographic Group	various (Minolta/Konica Minolta cameras use this for JPEGs in sRGB color space)
JS[39]	JavaScript file	script in HTML pages
JSON[40][41]	JSON (JavaScript Object Notation)	Ajax
JSP[42]	Jakarta Server Pages	Dynamic pages running Web servers using Java technology

KML[43][44]	Keyhole Markup Language	Google Earth
KMZ[43][44]	Keyhole Markup Language (Zip compressed)	Google Earth
KT	Kotlin source code	Kotlin Programming Language

LBR	.LBR Archive	for CP/M and MS-DOS using the LU program
LDT	Labordatenträger, an xDT application	Healthcare providers in Germany
LHA	LHA Archive	LHA/LHARC, Total Commander
LISP	LISP source code file	
LL	LLVM Assembly Language	llvm
LUA	Lua script file	Microsoft Visual C++, Notepad++
LY	LilyPond Notation File	LilyPond
LZ	Archive	Lzip

M[1]	Mathematica Package File	Mathematica
M	MATLAB M-File	MATLAB
M	Mercury Source File	Mercury
M[2]	Source code	Objective-C
MCF[3]	Multimedia Container Format (predecessor of Matroska)	
MD[4]	Markdown-formatted text file	Markdown
MDF[5]	Master Data File, a Microsoft SQL Server file type	Microsoft SQL Server
MDF	Measurement Data Format, a binary file format for vector measurement data[6]	automotive industry, developed by Robert Bosch GmbH
MDI	Document save in high-resolution, created by MSOffice to scan documents (OCR) and turn them into a .DOC	Microsoft Office
MDG	Digital Geometry (Programmable CAD) file format, developed by DInsight	Digital Geometric Kernel
MDL	Model	3D Design Plus or Simulink
MDS	Midi Session	Sound Imp.
